时间,断面名称,pH(无量纲),溶解氧(mg/L),高锰酸盐指数(mg/L),氨氮(mg/L),经度,纬度
2021-6-27 0:00,中卫下河沿(新墩),7.250422535,7.902253521,3.508169014,0.093661972,105.196902,37.499972
2021-6-27 4:00,中卫下河沿(新墩),7.241971831,7.897183099,3.514788732,0.095422535,105.196902,37.499972
2021-6-27 8:00,中卫下河沿(新墩),7.233521127,7.892112676,3.521408451,0.097183099,105.196902,37.499972
2021-6-27 12:00,中卫下河沿(新墩),7.225070423,7.887042254,3.528028169,0.098943662,105.196902,37.499972
2021-6-27 16:00,中卫下河沿(新墩),7.216619718,7.881971831,3.534647887,0.100704225,105.196902,37.499972
2021-6-27 20:00,中卫下河沿(新墩),7.208169014,7.876901408,3.541267606,0.102464789,105.196902,37.499972
2021-6-28 0:00,中卫下河沿(新墩),7.19971831,7.871830986,3.547887324,0.104225352,105.196902,37.499972
2021-6-28 4:00,中卫下河沿(新墩),7.191267606,7.866760563,3.554507042,0.105985915,105.196902,37.499972
2021-6-28 8:00,中卫下河沿(新墩),7.182816901,7.861690141,3.561126761,0.107746479,105.196902,37.499972
2021-6-28 12:00,中卫下河沿(新墩),7.174366197,7.856619718,3.567746479,0.109507042,105.196902,37.499972
2021-6-28 16:00,中卫下河沿(新墩),7.165915493,7.851549296,3.574366197,0.111267606,105.196902,37.499972
2021-6-28 20:00,中卫下河沿(新墩),7.157464789,7.846478873,3.580985915,0.113028169,105.196902,37.499972
2021-6-29 0:00,中卫下河沿(新墩),7.149014085,7.841408451,3.587605634,0.114788732,105.196902,37.499972
2021-6-29 4:00,中卫下河沿(新墩),7.14056338,7.836338028,3.594225352,0.116549296,105.196902,37.499972
2021-6-29 8:00,中卫下河沿(新墩),7.132112676,7.831267606,3.60084507,0.118309859,105.196902,37.499972
2021-6-29 12:00,中卫下河沿(新墩),7.123661972,7.826197183,3.607464789,0.120070423,105.196902,37.499972
2021-6-29 16:00,中卫下河沿(新墩),7.115211268,7.821126761,3.614084507,0.121830986,105.196902,37.499972
2021-6-29 20:00,中卫下河沿(新墩),7.106760563,7.816056338,3.620704225,0.123591549,105.196902,37.499972
2021-6-30 0:00,中卫下河沿(新墩),7.098309859,7.810985915,3.627323944,0.125352113,105.196902,37.499972
2021-6-30 4:00,中卫下河沿(新墩),7.089859155,7.805915493,3.633943662,0.127112676,105.196902,37.499972
2021-6-30 8:00,中卫下河沿(新墩),7.081408451,7.80084507,3.64056338,0.128873239,105.196902,37.499972
2021-6-30 12:00,中卫下河沿(新墩),7.072957746,7.795774648,3.647183099,0.130633803,105.196902,37.499972
2021-6-30 16:00,中卫下河沿(新墩),7.064507042,7.790704225,3.653802817,0.132394366,105.196902,37.499972
2021-6-30 20:00,中卫下河沿(新墩),7.056056338,7.785633803,3.660422535,0.13415493,105.196902,37.499972
2021-7-1 0:00,中卫下河沿(新墩),7.047605634,7.78056338,3.667042254,0.135915493,105.196902,37.499972
2021-7-1 4:00,中卫下河沿(新墩),7.03915493,7.775492958,3.673661972,0.137676056,105.196902,37.499972
2021-7-1 8:00,中卫下河沿(新墩),7.030704225,7.770422535,3.68028169,0.13943662,105.196902,37.499972
2021-7-1 12:00,中卫下河沿(新墩),7.022253521,7.765352113,3.686901408,0.141197183,105.196902,37.499972
2021-7-1 16:00,中卫下河沿(新墩),7.013802817,7.76028169,3.693521127,0.142957746,105.196902,37.499972
2021-7-1 20:00,中卫下河沿(新墩),7.005352113,7.755211268,3.700140845,0.14471831,105.196902,37.499972
2021-7-2 0:00,中卫下河沿(新墩),6.996901408,7.750140845,3.706760563,0.146478873,105.196902,37.499972
2021-7-2 4:00,中卫下河沿(新墩),6.988450704,7.745070423,3.713380282,0.148239437,105.196902,37.499972
2021-7-2 8:00,中卫下河沿(新墩),6.98,7.74,3.72,0.15,105.196902,37.499972
2021-7-2 12:00,中卫下河沿(新墩),6.92,7.55,4.07,0.22,105.196902,37.499972
2021-7-2 16:00,中卫下河沿(新墩),6.79,7.45,3.92,0.18,105.196902,37.499972
2021-7-2 20:00,中卫下河沿(新墩),6.8,7.52,3.82,0.19,105.196902,37.499972
2021-7-3 0:00,中卫下河沿(新墩),6.89,7.63,3.52,0.16,105.196902,37.499972
2021-7-3 4:00,中卫下河沿(新墩),6.96,7.72,3.46,0.17,105.196902,37.499972
2021-7-3 8:00,中卫下河沿(新墩),6.98,7.71,3.79,0.18,105.196902,37.499972
2021-7-3 12:00,中卫下河沿(新墩),6.92,7.53,4.95,0.15,105.196902,37.499972
2021-7-3 16:00,中卫下河沿(新墩),6.76,7.33,5.17,0.09,105.196902,37.499972
2021-7-3 20:00,中卫下河沿(新墩),6.76,7.45,4.95,0.17,105.196902,37.499972
2021-7-4 0:00,中卫下河沿(新墩),6.87,7.62,4.54,0.16,105.196902,37.499972
2021-7-4 4:00,中卫下河沿(新墩),6.92,7.67,4.42,0.14,105.196902,37.499972
2021-7-4 8:00,中卫下河沿(新墩),6.94,7.66,5.53,0.15,105.196902,37.499972
2021-7-4 12:00,中卫下河沿(新墩),6.88,7.65,6.1,0.11,105.196902,37.499972
2021-7-4 16:00,中卫下河沿(新墩),6.81,7.67,5.25,0.32,105.196902,37.499972
2021-7-4 20:00,中卫下河沿(新墩),6.77,7.53,4.49,0.29,105.196902,37.499972
2021-7-5 0:00,中卫下河沿(新墩),6.79,7.47,4.86,0.34,105.196902,37.499972
2021-7-5 4:00,中卫下河沿(新墩),6.83,7.55,4.92,0.38,105.196902,37.499972
2021-7-5 8:00,中卫下河沿(新墩),6.89,7.65,4.59,0.36,105.196902,37.499972
2021-7-5 12:00,中卫下河沿(新墩),6.85,7.68,4.71,0.38,105.196902,37.499972
2021-7-5 16:00,中卫下河沿(新墩),6.75,7.6,4.22,0.36,105.196902,37.499972
2021-7-5 20:00,中卫下河沿(新墩),6.71,7.58,4.26,0.48,105.196902,37.499972
2021-7-6 0:00,中卫下河沿(新墩),6.76,7.6,4.74,0.25,105.196902,37.499972
2021-7-6 4:00,中卫下河沿(新墩),6.73,7.41,4.95,0.35,105.196902,37.499972
2021-7-6 8:00,中卫下河沿(新墩),6.73,7.45,5.09,0.45,105.196902,37.499972
2021-7-6 12:00,中卫下河沿(新墩),6.75,7.66,4.58,0.36,105.196902,37.499972
2021-7-6 16:00,中卫下河沿(新墩),6.91,7.8,4.32,0.25,105.196902,37.499972
2021-7-6 20:00,中卫下河沿(新墩),7.406666667,7.786666667,4.08,0.19,105.196902,37.499972
2021-7-7 0:00,中卫下河沿(新墩),7.903333333,7.773333333,3.84,0.13,105.196902,37.499972
2021-7-7 4:00,中卫下河沿(新墩),8.4,7.76,3.6,0.07,105.196902,37.499972
2021-7-7 8:00,中卫下河沿(新墩),8.38,7.73,3.6,0.11,105.196902,37.499972
2021-7-7 12:00,中卫下河沿(新墩),8.34,7.75,3.62,0.12,105.196902,37.499972
2021-7-7 16:00,中卫下河沿(新墩),8.339736842,7.752807018,3.611315789,0.121140351,105.196902,37.499972
2021-7-7 20:00,中卫下河沿(新墩),8.339473684,7.755614035,3.602631579,0.122280702,105.196902,37.499972
2021-7-8 0:00,中卫下河沿(新墩),8.339210526,7.758421053,3.593947368,0.123421053,105.196902,37.499972
2021-7-8 4:00,中卫下河沿(新墩),8.338947368,7.76122807,3.585263158,0.124561404,105.196902,37.499972
2021-7-8 8:00,中卫下河沿(新墩),8.338684211,7.764035088,3.576578947,0.125701754,105.196902,37.499972
2021-7-8 12:00,中卫下河沿(新墩),8.338421053,7.766842105,3.567894737,0.126842105,105.196902,37.499972
2021-7-8 16:00,中卫下河沿(新墩),8.338157895,7.769649123,3.559210526,0.127982456,105.196902,37.499972
2021-7-8 20:00,中卫下河沿(新墩),8.337894737,7.77245614,3.550526316,0.129122807,105.196902,37.499972
2021-7-9 0:00,中卫下河沿(新墩),8.337631579,7.775263158,3.541842105,0.130263158,105.196902,37.499972
2021-7-9 4:00,中卫下河沿(新墩),8.337368421,7.778070175,3.533157895,0.131403509,105.196902,37.499972
2021-7-9 8:00,中卫下河沿(新墩),8.337105263,7.780877193,3.524473684,0.13254386,105.196902,37.499972
2021-7-9 12:00,中卫下河沿(新墩),8.336842105,7.783684211,3.515789474,0.133684211,105.196902,37.499972
2021-7-9 16:00,中卫下河沿(新墩),8.336578947,7.786491228,3.507105263,0.134824561,105.196902,37.499972
2021-7-9 20:00,中卫下河沿(新墩),8.336315789,7.789298246,3.498421053,0.135964912,105.196902,37.499972
2021-7-10 0:00,中卫下河沿(新墩),8.336052632,7.792105263,3.489736842,0.137105263,105.196902,37.499972
2021-7-10 4:00,中卫下河沿(新墩),8.335789474,7.794912281,3.481052632,0.138245614,105.196902,37.499972
2021-7-10 8:00,中卫下河沿(新墩),8.335526316,7.797719298,3.472368421,0.139385965,105.196902,37.499972
2021-7-10 12:00,中卫下河沿(新墩),8.335263158,7.800526316,3.463684211,0.140526316,105.196902,37.499972
2021-7-10 16:00,中卫下河沿(新墩),8.335,7.803333333,3.455,0.141666667,105.196902,37.499972
2021-7-10 20:00,中卫下河沿(新墩),8.334736842,7.806140351,3.446315789,0.142807018,105.196902,37.499972
2021-7-11 0:00,中卫下河沿(新墩),8.334473684,7.808947368,3.437631579,0.143947368,105.196902,37.499972
2021-7-11 4:00,中卫下河沿(新墩),8.334210526,7.811754386,3.428947368,0.145087719,105.196902,37.499972
2021-7-11 8:00,中卫下河沿(新墩),8.333947368,7.814561404,3.420263158,0.14622807,105.196902,37.499972
2021-7-11 12:00,中卫下河沿(新墩),8.333684211,7.817368421,3.411578947,0.147368421,105.196902,37.499972
2021-7-11 16:00,中卫下河沿(新墩),8.333421053,7.820175439,3.402894737,0.148508772,105.196902,37.499972
2021-7-11 20:00,中卫下河沿(新墩),8.333157895,7.822982456,3.394210526,0.149649123,105.196902,37.499972
2021-7-12 0:00,中卫下河沿(新墩),8.332894737,7.825789474,3.385526316,0.150789474,105.196902,37.499972
2021-7-12 4:00,中卫下河沿(新墩),8.332631579,7.828596491,3.376842105,0.151929825,105.196902,37.499972
2021-7-12 8:00,中卫下河沿(新墩),8.332368421,7.831403509,3.368157895,0.153070175,105.196902,37.499972
2021-7-12 12:00,中卫下河沿(新墩),8.332105263,7.834210526,3.359473684,0.154210526,105.196902,37.499972
2021-7-12 16:00,中卫下河沿(新墩),8.331842105,7.837017544,3.350789474,0.155350877,105.196902,37.499972
2021-7-12 20:00,中卫下河沿(新墩),8.331578947,7.839824561,3.342105263,0.156491228,105.196902,37.499972
2021-7-13 0:00,中卫下河沿(新墩),8.331315789,7.842631579,3.333421053,0.157631579,105.196902,37.499972
2021-7-13 4:00,中卫下河沿(新墩),8.331052632,7.845438596,3.324736842,0.15877193,105.196902,37.499972
2021-7-13 8:00,中卫下河沿(新墩),8.330789474,7.848245614,3.316052632,0.159912281,105.196902,37.499972
2021-7-13 12:00,中卫下河沿(新墩),8.330526316,7.851052632,3.307368421,0.161052632,105.196902,37.499972
2021-7-13 16:00,中卫下河沿(新墩),8.330263158,7.853859649,3.298684211,0.162192982,105.196902,37.499972
2021-7-13 20:00,中卫下河沿(新墩),8.33,7.856666667,3.29,0.163333333,105.196902,37.499972
2021-7-14 0:00,中卫下河沿(新墩),8.329736842,7.859473684,3.281315789,0.164473684,105.196902,37.499972
2021-7-14 4:00,中卫下河沿(新墩),8.329473684,7.862280702,3.272631579,0.165614035,105.196902,37.499972
2021-7-14 8:00,中卫下河沿(新墩),8.329210526,7.865087719,3.263947368,0.166754386,105.196902,37.499972
2021-7-14 12:00,中卫下河沿(新墩),8.328947368,7.867894737,3.255263158,0.167894737,105.196902,37.499972
2021-7-14 16:00,中卫下河沿(新墩),8.328684211,7.870701754,3.246578947,0.169035088,105.196902,37.499972
2021-7-14 20:00,中卫下河沿(新墩),8.328421053,7.873508772,3.237894737,0.170175439,105.196902,37.499972
2021-7-15 0:00,中卫下河沿(新墩),8.328157895,7.876315789,3.229210526,0.171315789,105.196902,37.499972
2021-7-15 4:00,中卫下河沿(新墩),8.327894737,7.879122807,3.220526316,0.17245614,105.196902,37.499972
2021-7-15 8:00,中卫下河沿(新墩),8.327631579,7.881929825,3.211842105,0.173596491,105.196902,37.499972
2021-7-15 12:00,中卫下河沿(新墩),8.327368421,7.884736842,3.203157895,0.174736842,105.196902,37.499972
2021-7-15 16:00,中卫下河沿(新墩),8.327105263,7.88754386,3.194473684,0.175877193,105.196902,37.499972
2021-7-15 20:00,中卫下河沿(新墩),8.326842105,7.890350877,3.185789474,0.177017544,105.196902,37.499972
2021-7-16 0:00,中卫下河沿(新墩),8.326578947,7.893157895,3.177105263,0.178157895,105.196902,37.499972
2021-7-16 4:00,中卫下河沿(新墩),8.326315789,7.895964912,3.168421053,0.179298246,105.196902,37.499972
2021-7-16 8:00,中卫下河沿(新墩),8.326052632,7.89877193,3.159736842,0.180438596,105.196902,37.499972
2021-7-16 12:00,中卫下河沿(新墩),8.325789474,7.901578947,3.151052632,0.181578947,105.196902,37.499972
2021-7-16 16:00,中卫下河沿(新墩),8.325526316,7.904385965,3.142368421,0.182719298,105.196902,37.499972
2021-7-16 20:00,中卫下河沿(新墩),8.325263158,7.907192982,3.133684211,0.183859649,105.196902,37.499972
2021-7-17 0:00,中卫下河沿(新墩),8.325,7.91,3.125,0.185,105.196902,37.499972
2021-7-17 4:00,中卫下河沿(新墩),8.324736842,7.912807018,3.116315789,0.186140351,105.196902,37.499972
2021-7-17 8:00,中卫下河沿(新墩),8.324473684,7.915614035,3.107631579,0.187280702,105.196902,37.499972
2021-7-17 12:00,中卫下河沿(新墩),8.324210526,7.918421053,3.098947368,0.188421053,105.196902,37.499972
2021-7-17 16:00,中卫下河沿(新墩),8.323947368,7.92122807,3.090263158,0.189561404,105.196902,37.499972
2021-7-17 20:00,中卫下河沿(新墩),8.323684211,7.924035088,3.081578947,0.190701754,105.196902,37.499972
2021-7-18 0:00,中卫下河沿(新墩),8.323421053,7.926842105,3.072894737,0.191842105,105.196902,37.499972
2021-7-18 4:00,中卫下河沿(新墩),8.323157895,7.929649123,3.064210526,0.192982456,105.196902,37.499972
2021-7-18 8:00,中卫下河沿(新墩),8.322894737,7.93245614,3.055526316,0.194122807,105.196902,37.499972
2021-7-18 12:00,中卫下河沿(新墩),8.322631579,7.935263158,3.046842105,0.195263158,105.196902,37.499972
2021-7-18 16:00,中卫下河沿(新墩),8.322368421,7.938070175,3.038157895,0.196403509,105.196902,37.499972
2021-7-18 20:00,中卫下河沿(新墩),8.322105263,7.940877193,3.029473684,0.19754386,105.196902,37.499972
2021-7-19 0:00,中卫下河沿(新墩),8.321842105,7.943684211,3.020789474,0.198684211,105.196902,37.499972
2021-7-19 4:00,中卫下河沿(新墩),8.321578947,7.946491228,3.012105263,0.199824561,105.196902,37.499972
2021-7-19 8:00,中卫下河沿(新墩),8.321315789,7.949298246,3.003421053,0.200964912,105.196902,37.499972
2021-7-19 12:00,中卫下河沿(新墩),8.321052632,7.952105263,2.994736842,0.202105263,105.196902,37.499972
2021-7-19 16:00,中卫下河沿(新墩),8.320789474,7.954912281,2.986052632,0.203245614,105.196902,37.499972
2021-7-19 20:00,中卫下河沿(新墩),8.320526316,7.957719298,2.977368421,0.204385965,105.196902,37.499972
2021-7-20 0:00,中卫下河沿(新墩),8.320263158,7.960526316,2.968684211,0.205526316,105.196902,37.499972
2021-7-20 4:00,中卫下河沿(新墩),8.32,7.963333333,2.96,0.206666667,105.196902,37.499972
2021-7-20 8:00,中卫下河沿(新墩),8.319736842,7.966140351,2.951315789,0.207807018,105.196902,37.499972
2021-7-20 12:00,中卫下河沿(新墩),8.319473684,7.968947368,2.942631579,0.208947368,105.196902,37.499972
2021-7-20 16:00,中卫下河沿(新墩),8.319210526,7.971754386,2.933947368,0.210087719,105.196902,37.499972
2021-7-20 20:00,中卫下河沿(新墩),8.318947368,7.974561404,2.925263158,0.21122807,105.196902,37.499972
2021-7-21 0:00,中卫下河沿(新墩),8.318684211,7.977368421,2.916578947,0.212368421,105.196902,37.499972
2021-7-21 4:00,中卫下河沿(新墩),8.318421053,7.980175439,2.907894737,0.213508772,105.196902,37.499972
2021-7-21 8:00,中卫下河沿(新墩),8.318157895,7.982982456,2.899210526,0.214649123,105.196902,37.499972
2021-7-21 12:00,中卫下河沿(新墩),8.317894737,7.985789474,2.890526316,0.215789474,105.196902,37.499972
2021-7-21 16:00,中卫下河沿(新墩),8.317631579,7.988596491,2.881842105,0.216929825,105.196902,37.499972
2021-7-21 20:00,中卫下河沿(新墩),8.317368421,7.991403509,2.873157895,0.218070175,105.196902,37.499972
2021-7-22 0:00,中卫下河沿(新墩),8.317105263,7.994210526,2.864473684,0.219210526,105.196902,37.499972
2021-7-22 4:00,中卫下河沿(新墩),8.316842105,7.997017544,2.855789474,0.220350877,105.196902,37.499972
2021-7-22 8:00,中卫下河沿(新墩),8.316578947,7.999824561,2.847105263,0.221491228,105.196902,37.499972
2021-7-22 12:00,中卫下河沿(新墩),8.316315789,8.002631579,2.838421053,0.222631579,105.196902,37.499972
2021-7-22 16:00,中卫下河沿(新墩),8.316052632,8.005438596,2.829736842,0.22377193,105.196902,37.499972
2021-7-22 20:00,中卫下河沿(新墩),8.315789474,8.008245614,2.821052632,0.224912281,105.196902,37.499972
2021-7-23 0:00,中卫下河沿(新墩),8.315526316,8.011052632,2.812368421,0.226052632,105.196902,37.499972
2021-7-23 4:00,中卫下河沿(新墩),8.315263158,8.013859649,2.803684211,0.227192982,105.196902,37.499972
2021-7-23 8:00,中卫下河沿(新墩),8.315,8.016666667,2.795,0.228333333,105.196902,37.499972
2021-7-23 12:00,中卫下河沿(新墩),8.314736842,8.019473684,2.786315789,0.229473684,105.196902,37.499972
2021-7-23 16:00,中卫下河沿(新墩),8.314473684,8.022280702,2.777631579,0.230614035,105.196902,37.499972
2021-7-23 20:00,中卫下河沿(新墩),8.314210526,8.025087719,2.768947368,0.231754386,105.196902,37.499972
2021-7-24 0:00,中卫下河沿(新墩),8.313947368,8.027894737,2.760263158,0.232894737,105.196902,37.499972
2021-7-24 4:00,中卫下河沿(新墩),8.313684211,8.030701754,2.751578947,0.234035088,105.196902,37.499972
2021-7-24 8:00,中卫下河沿(新墩),8.313421053,8.033508772,2.742894737,0.235175439,105.196902,37.499972
2021-7-24 12:00,中卫下河沿(新墩),8.313157895,8.036315789,2.734210526,0.236315789,105.196902,37.499972
2021-7-24 16:00,中卫下河沿(新墩),8.312894737,8.039122807,2.725526316,0.23745614,105.196902,37.499972
2021-7-24 20:00,中卫下河沿(新墩),8.312631579,8.041929825,2.716842105,0.238596491,105.196902,37.499972
2021-7-25 0:00,中卫下河沿(新墩),8.312368421,8.044736842,2.708157895,0.239736842,105.196902,37.499972
2021-7-25 4:00,中卫下河沿(新墩),8.312105263,8.04754386,2.699473684,0.240877193,105.196902,37.499972
2021-7-25 8:00,中卫下河沿(新墩),8.311842105,8.050350877,2.690789474,0.242017544,105.196902,37.499972
2021-7-25 12:00,中卫下河沿(新墩),8.311578947,8.053157895,2.682105263,0.243157895,105.196902,37.499972
2021-7-25 16:00,中卫下河沿(新墩),8.311315789,8.055964912,2.673421053,0.244298246,105.196902,37.499972
2021-7-25 20:00,中卫下河沿(新墩),8.311052632,8.05877193,2.664736842,0.245438596,105.196902,37.499972
2021-7-26 0:00,中卫下河沿(新墩),8.310789474,8.061578947,2.656052632,0.246578947,105.196902,37.499972
2021-7-26 4:00,中卫下河沿(新墩),8.310526316,8.064385965,2.647368421,0.247719298,105.196902,37.499972
2021-7-26 8:00,中卫下河沿(新墩),8.310263158,8.067192982,2.638684211,0.248859649,105.196902,37.499972
2021-7-26 12:00,中卫下河沿(新墩),8.31,8.07,2.63,0.25,105.196902,37.499972
2021-7-26 16:00,中卫下河沿(新墩),8.285,8,2.698333333,0.35,105.196902,37.499972
2021-7-26 20:00,中卫下河沿(新墩),8.26,7.93,2.766666667,0.45,105.196902,37.499972
2021-7-27 0:00,中卫下河沿(新墩),8.19,7.915,2.835,0.355,105.196902,37.499972
2021-7-27 4:00,中卫下河沿(新墩),8.12,7.9,2.903333333,0.26,105.196902,37.499972
2021-7-27 8:00,中卫下河沿(新墩),8.205,7.995,2.971666667,0.355,105.196902,37.499972
2021-7-27 12:00,中卫下河沿(新墩),8.29,8.09,3.04,0.45,105.196902,37.499972
2021-7-27 16:00,中卫下河沿(新墩),8.2,7.82,2.7,0.14,105.196902,37.499972
2021-7-27 20:00,中卫下河沿(新墩),8.276666667,7.88,3.01,0.156666667,105.196902,37.499972
2021-7-28 0:00,中卫下河沿(新墩),8.353333333,7.94,3.32,0.173333333,105.196902,37.499972
2021-7-28 4:00,中卫下河沿(新墩),8.43,8,3.63,0.19,105.196902,37.499972
2021-7-28 8:00,中卫下河沿(新墩),8.37,7.95,3.37,0.2,105.196902,37.499972
2021-7-28 12:00,中卫下河沿(新墩),8.29,7.89,3.49,0.22,105.196902,37.499972
2021-7-28 16:00,中卫下河沿(新墩),8.26,7.82,3.47,0.17,105.196902,37.499972
2021-7-28 20:00,中卫下河沿(新墩),8.26,7.76,3.37,0.15,105.196902,37.499972
2021-7-29 0:00,中卫下河沿(新墩),8.28,7.73,3.72,0.18,105.196902,37.499972
2021-7-29 4:00,中卫下河沿(新墩),8.28,7.78,3.98,0.17,105.196902,37.499972
2021-7-29 8:00,中卫下河沿(新墩),8.25,7.8,3.85,0.14,105.196902,37.499972
2021-7-29 12:00,中卫下河沿(新墩),8.2,7.87,3.73,0.16,105.196902,37.499972
